Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
United Kingdom,1510000000000,1490000000000,1500000000000,1540000000000,1600000000000,1640000000000,1690000000000,1730000000000,1790000000000,1850000000000,1920000000000,1970000000000,2020000000000,2100000000000,2150000000000,2210000000000,2280000000000,2340000000000,2330000000000,2230000000000,2270000000000,2310000000000,2330000000000
Georgia,38503868499,30379552028,16739133195,11834566923,10603772759,10879470344,12097971315,13370561836,13785704868,14181252096,14441951979,15135953069,15964470632,17729838097,18768333183,20570025753,22500168104,25277588828,25862524222,24886013613,26442143168,28345977228,30098358799
Ghana,28080358687,29563514455,30710407126,32199862045,33262457361,34630348991,36224197313,37744294161,39518423484,41257232876,42783750540,44495100561,46497379953,48915243703,51654497345,54702114730,58203002164,61962678174,67186527239,69502175404,74992666759,85526138706,93473665297
Guinea,6789712120,6967156019,7195048021,7557976643,7858035806,8220108416,8586854725,9031791486,9360920919,9717759602,9961001010,10325408939,10858675986,10994257551,11251536075,11588775279,11878115542,12086895083,12683616959,12648078443,12892972742,13396928290,13925318145
"Gambia, The",1390765214,1433976835,1482426452,1527078635,1529435624,1542922924,1577230518,1654514799,1712422793,1822017840,1922228824,2033718101,1967622256,2102797901,2251045152,2229847602,2254913312,2336789790,2470796318,2630155165,2801763127,2680483729,2837619802
Guinea-Bissau,1591429085,1672591969,1690990480,1726501280,1781749322,1860146292,2075923262,2210858274,1589607547,1605909567,1693062076,1730121628,1713076858,1722815874,1770389746,1845904397,1888540176,1949061631,2011527312,2078197528,2170303693,2366252938,2313406997
Equatorial Guinea,392399116,388387860,523334464,581075071,677933519,796478762,1326774299,3316577035,4105076056,5158603409,6098180083,9963199023,11902319913,13563318450,18717206781,21852095706,20800672248,23530126161,26415219877,24285637562,23969892843,25167425786,25977870573
Greece,214000000000,221000000000,222000000000,219000000000,223000000000,228000000000,235000000000,245000000000,255000000000,263000000000,273000000000,283000000000,292000000000,312000000000,327000000000,330000000000,349000000000,362000000000,360000000000,344000000000,326000000000,297000000000,277000000000
Grenada,720967034,737526937,735340741,715930209,735642676,754062728,784658140,820821848,874519242,962605180,980633825,960786777,993812127,1087866242,1080822849,1224281156,1175093104,1247368184,1259206343,1175716165,1170108616,1178831470,1165124128
Guatemala,47252664594,48981284605,51351165106,53367793139,55520511947,58267970856,59991409186,62609488234,65735910449,68264811786,70728399242,72378170481,75176772588,77079374882,79508940297,82101061106,86517781257,91972078547,94989768489,95489598008,98229550167,102000000000,105000000000
Guyana,2342372278,2482554123,2676974025,2896856335,3143764362,3300522312,3560717890,3782441955,3717816395,3828231117,3775526806,3860476132,3901049766,3861834258,3989040174,3910978202,3702019373,3961912737,4040225769,4174305678,4356759128,4593641614,4814892475
High income,32400000000000,32800000000000,33100000000000,33400000000000,34200000000000,35000000000000,36000000000000,37200000000000,38100000000000,39400000000000,41100000000000,41700000000000,42400000000000,43500000000000,45200000000000,46700000000000,48400000000000,50000000000000,50500000000000,48800000000000,50400000000000,51600000000000,52400000000000
"Hong Kong SAR, China",154000000000,163000000000,173000000000,184000000000,195000000000,199000000000,208000000000,218000000000,205000000000,211000000000,227000000000,228000000000,232000000000,239000000000,260000000000,279000000000,298000000000,318000000000,324000000000,316000000000,338000000000,354000000000,360000000000
Honduras,15716681269,16227793056,17140492134,18208350282,17971048666,18701208083,19373563214,20341024442,20931236638,20535733620,21716158012,22307530966,23145031047,24197444416,25705502461,27260920838,29051145471,30848903777,32154387468,31372432953,32543023179,33791230596,32783550954
Heavily indebted poor countries (HIPC),520000000000,524000000000,522000000000,528000000000,531000000000,557000000000,586000000000,613000000000,634000000000,655000000000,675000000000,704000000000,729000000000,761000000000,803000000000,854000000000,906000000000,968000000000,1030000000000,1070000000000,1130000000000,1190000000000,1250000000000
Croatia,41365364190,44805297326,48245230462,51685163598,55125096734,58565029870,62004963006,66125486768,67356664582,66726542990,69240462942,71618460424,75375904709,79565227420,82813725029,86261956780,90389755902,95044903301,96996280361,89834411596,88306205282,88057740525,86131398376
Haiti,11258588663,11645684000,12032779337,12419874674,12806970011,13194065348,13581160685,13968256022,14355351359,14742446696,14871478475,14716413969,14677930807,14731128119,14213869145,14468537130,14794512151,15289133971,15418165750,15893545989,15019751836,15849403538,16306674054
Hungary,155000000000,155000000000,150000000000,149000000000,154000000000,156000000000,156000000000,161000000000,168000000000,173000000000,181000000000,188000000000,196000000000,203000000000,213000000000,222000000000,231000000000,232000000000,234000000000,219000000000,221000000000,225000000000,221000000000
Indonesia,812000000000,885000000000,949000000000,1020000000000,1090000000000,1190000000000,1280000000000,1340000000000,1160000000000,1170000000000,1230000000000,1270000000000,1330000000000,1390000000000,1460000000000,1550000000000,1630000000000,1740000000000,1840000000000,1930000000000,2050000000000,2170000000000,2300000000000
India,1540000000000,1560000000000,1650000000000,1720000000000,1840000000000,1980000000000,2130000000000,2210000000000,2350000000000,2560000000000,2660000000000,2780000000000,2890000000000,3120000000000,3360000000000,3680000000000,4020000000000,4410000000000,4580000000000,4970000000000,5480000000000,5850000000000,6140000000000
Ireland,78950965566,80474355190,83164901419,85404164326,90319874530,99021735485,108000000000,120000000000,130000000000,143000000000,157000000000,165000000000,175000000000,180000000000,188000000000,199000000000,210000000000,220000000000,214000000000,201000000000,200000000000,206000000000,205000000000
Iran,536000000000,604000000000,629000000000,619000000000,617000000000,634000000000,678000000000,701000000000,721000000000,735000000000,772000000000,801000000000,861000000000,922000000000,969000000000,1010000000000,1070000000000,1140000000000,1160000000000,1190000000000,1260000000000,1310000000000,1230000000000
Iraq,196000000000,70611777240,93625716808,122000000000,127000000000,129000000000,144000000000,174000000000,235000000000,276000000000,280000000000,286000000000,267000000000,178000000000,275000000000,287000000000,316000000000,321000000000,342000000000,362000000000,382000000000,421000000000,474000000000
Iceland,7304780673,7288452878,7042548788,7135048827,7392542295,7401161387,7755310880,8136344308,8660180675,9020684253,9448271529,9803806351,9848261914,10115291446,10947640430,11604711865,12095927742,13271954537,13424669763,12733354491,12342808034,12639156520,12804704957
Israel,79929914448,86084021516,90928653871,95981442903,103000000000,125000000000,132000000000,137000000000,143000000000,149000000000,162000000000,162000000000,162000000000,164000000000,172000000000,179000000000,190000000000,202000000000,209000000000,213000000000,225000000000,234000000000,241000000000
Italy,1740000000000,1770000000000,1790000000000,1770000000000,1810000000000,1860000000000,1880000000000,1920000000000,1950000000000,1980000000000,2050000000000,2090000000000,2100000000000,2100000000000,2130000000000,2150000000000,2200000000000,2230000000000,2200000000000,2080000000000,2120000000000,2130000000000,2070000000000
Jamaica,17664447411,18519095551,18881244336,20659310481,20945109276,21437310346,21412929434,21168723567,20674528380,20891130012,21074701113,21358140999,,,,,23756204756,24088791623,23916781882,22861759779,22523399585,22907006884,23072922006
