Country,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
European Union,EUU,"Population, total",SP.POP.TOTL,477948527,478879335,480313031,481925994,483042019,483999563,484682026,485524343,486169409,487181237,487977133,489163227,490506176,492343186,494332851,496306466,498182074,500030506,501912523,503390442,504469008,505544895,505126520
Fragile and conflict affected situations,FCS,"Population, total",SP.POP.TOTL,259402603,266496626,274006899,281787906,289632847,297399140,305025311,312569145,319951491,327461927,335452998,343880551,352636915,361673831,370912986,380285290,389823368,399530739,409393653,419371302,429448546,439954168,450703885
Finland,FIN,"Population, total",SP.POP.TOTL,4986431,5013740,5041992,5066447,5088333,5107790,5124573,5139835,5153498,5165474,5176209,5188008,5200598,5213014,5228172,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971
Fiji,FJI,"Population, total",SP.POP.TOTL,728626,735469,744534,755024,765666,775498,784479,792859,800314,806494,811223,814215,815691,816626,818355,821820,827390,834729,843206,851854,859952,867327,874158
France,FRA,"Population, total",SP.POP.TOTL,58512808,58559312,58851216,59106766,59327194,59541900,59753098,59964845,60186291,60496715,60912498,61357431,61805267,62244884,62704897,63179356,63621376,64016229,64374990,64707044,65027512,65342776,65639975
Faeroe Islands,FRO,"Population, total",SP.POP.TOTL,48031,47494,46574,45501,44600,44099,44081,44467,45126,45852,46491,47012,47452,47812,48103,48337,48505,48599,48629,48613,48567,48492,48393
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,96331,98800,101412,103937,106057,107556,108342,108506,108236,107808,107430,107170,106983,106816,106575,106198,105680,105080,104472,103961,103619,103476,103516
Gabon,GAB,"Population, total",SP.POP.TOTL,952269,978252,1004598,1031358,1058625,1086449,1114879,1143838,1173114,1202412,1231548,1260435,1289192,1318093,1347524,1377777,1408920,1440902,1473741,1507428,1541936,1577298,1613489
United Kingdom,GBR,"Population, total",SP.POP.TOTL,57247586,57424897,57580402,57718614,57865745,58019030,58166950,58316954,58487141,58682466,58892514,59119673,59370479,59647577,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258918,63700300
Georgia,GEO,"Population, total",SP.POP.TOTL,4802000,4835900,4873500,4911100,4861600,4734000,4616100,4531600,4487300,4452500,4418300,4386400,4357000,4328900,4318300,4361400,4398000,4388400,4383800,4410900,4452800,4483350,4490700
Ghana,GHA,"Population, total",SP.POP.TOTL,14628260,15042736,15471527,15907244,16339344,16760991,17169214,17568583,17969006,18384426,18824994,19293804,19788181,20305396,20840493,21389514,21951891,22528041,23115919,23713164,24317734,24928503,25544565
